location,gameName,gameId,storeId
신촌,세븐원더스 : 듀얼,448,0
신촌,도블,139,0
신촌,데어이쎄스,128,0
신촌,데드오브윈터,127,0
신촌,더게임,116,0
신촌,달무티,110,0
신촌,닥터유레카,108,0
신촌,다빈치코드,95,0
신촌,노땡스,84,0
신촌,고스트,36,0
신촌,개조심,28,0
신촌,딕싯 : 예지,192,0
신촌,딕싯 : 메모리즈,190,0
신촌,드렉사우,180,0
신촌,렉시오,237,0
신촌,레지스탕스:쿠,236,0
신촌,레지스탕스 아발론,232,0
신촌,시퀀스,532,0
신촌,러시아워쉬프트,221,0
신촌,러시아워,220,0
신촌,러브레터,219,0
신촌,라온,206,0
신촌,라스베가스,204,0
신촌,라비린스,202,0
신촌,라보카,201,0
신촌,딕싯 : 퀘스트,193,0
신촌,루핑루이,252,0
신촌,루미큐브,245,0
신촌,시타델,536,0
신촌,로보77,239,0
신촌,모던아트,295,0
신촌,모노폴리,292,0
신촌,나방속이기 (장난꾸러기 나방),69,0
신촌,맨해튼,284,0
신촌,마헤,277,0
신촌,서바이브,440,0
신촌,마법의미로,265,0
신촌,마라케시,262,0
신촌,마닐라,261,0
신촌,뤄양의사람들,253,0
신촌,미스터잭,316,0
신촌,미니빌:항구,310,0
신촌,미니빌:그린밸리,309,0
신촌,미니빌,307,0
신촌,몰타의관문,303,0
신촌,보난자,372,0
신촌,웰컴백 투더 던전,664,0
신촌,뱅:닷지시티,354,0
신촌,뱅:다이스,353,0
신촌,텔레스트레이션,901,0
신촌,뱅,351,0
신촌,배틀쉽,346,0
신촌,바퀴벌레포커,335,0
신촌,바퀴벌레 샐러드,334,0
신촌,바운스오프,331,0
신촌,미스터잭 포켓,318,0
신촌,블리츠,401,0
신촌,블로커스,398,0
신촌,블러프,397,0
신촌,부루마불,377,0
신촌,스택시스,504,0
신촌,스머프 사다리게임,482,0
신촌,슈퍼라이노,478,0
신촌,숲속의음악대,473,0
신촌,쇼텐토텐,466,0
신촌,셜록13,461,0
신촌,세트,452,0
신촌,핸즈업,1043,0
신촌,선물입니다,446,0
신촌,석기시대,445,0
신촌,사보타지,421,0
신촌,사무라이,420,0
신촌,스파이폴,515,0
신촌,스티키스틱스,509,0
신촌,스트림스,508,0
신촌,스트라테고,507,0
신촌,스트라이크,506,0
신촌,에니그마,607,0
신촌,어콰이어,593,0
신촌,아컴호러,565,0
신촌,아임더보스,559,0
신촌,아브라카왓,555,0
신촌,아발론,554,0
신촌,아그리콜라,548,0
신촌,신의한수,540,0
신촌,메트로,291,0
신촌,스플렌더,520,0
신촌,원카드클래식,661,0
신촌,우봉고,653,0
신촌,우노,648,0
신촌,와이어트어프,634,0
신촌,줄로레또,742,0
신촌,젬블로Q,734,0
신촌,젬블로,733,0
